dj_nativegates_ibm_qiskit_opt0_10.qasm,10,18,19,88,9,0,9,0
dj_nativegates_ibm_qiskit_opt0_11.qasm,11,19,21,98,10,0,10,0
dj_nativegates_ibm_qiskit_opt0_12.qasm,12,19,23,106,11,0,11,0
dj_nativegates_ibm_qiskit_opt0_13.qasm,13,21,25,116,12,0,12,0
dj_nativegates_ibm_qiskit_opt0_14.qasm,14,22,27,126,13,0,13,0
dj_nativegates_ibm_qiskit_opt0_15.qasm,15,22,29,134,14,0,14,0
dj_nativegates_ibm_qiskit_opt0_16.qasm,16,23,31,142,15,0,15,0
dj_nativegates_ibm_qiskit_opt0_17.qasm,17,25,33,152,16,0,16,0
dj_nativegates_ibm_qiskit_opt0_18.qasm,18,25,35,160,17,0,17,0
dj_nativegates_ibm_qiskit_opt0_19.qasm,19,26,37,168,18,0,18,0
dj_nativegates_ibm_qiskit_opt0_2.qasm,2,10,3,14,1,0,2,0
dj_nativegates_ibm_qiskit_opt0_20.qasm,20,27,39,176,19,0,19,0
dj_nativegates_ibm_qiskit_opt0_21.qasm,21,28,41,184,20,0,20,0
dj_nativegates_ibm_qiskit_opt0_22.qasm,22,29,43,192,21,0,21,0
dj_nativegates_ibm_qiskit_opt0_23.qasm,23,31,45,202,22,0,22,0
dj_nativegates_ibm_qiskit_opt0_24.qasm,24,31,47,210,23,0,23,0
dj_nativegates_ibm_qiskit_opt0_24.qasm,24,31,47,210,23,0,23,0
dj_nativegates_ibm_qiskit_opt0_25.qasm,25,32,49,218,24,0,24,0
