graphstate_nativegates_ibm_qiskit_opt0_10.qasm,10,31,20,110,10,0,10,0
graphstate_nativegates_ibm_qiskit_opt0_11.qasm,11,38,22,121,11,0,11,0
graphstate_nativegates_ibm_qiskit_opt0_12.qasm,12,22,24,132,12,0,12,0
graphstate_nativegates_ibm_qiskit_opt0_13.qasm,13,22,26,143,13,0,13,0
graphstate_nativegates_ibm_qiskit_opt0_14.qasm,14,26,28,154,14,0,14,0
graphstate_nativegates_ibm_qiskit_opt0_15.qasm,15,26,30,165,15,0,15,0
graphstate_nativegates_ibm_qiskit_opt0_16.qasm,16,30,32,176,16,0,16,0
graphstate_nativegates_ibm_qiskit_opt0_17.qasm,17,27,34,187,17,0,17,0
graphstate_nativegates_ibm_qiskit_opt0_18.qasm,18,27,36,198,18,0,18,0
graphstate_nativegates_ibm_qiskit_opt0_19.qasm,19,27,38,209,19,0,19,0
graphstate_nativegates_ibm_qiskit_opt0_20.qasm,20,28,40,220,20,0,20,0
graphstate_nativegates_ibm_qiskit_opt0_21.qasm,21,38,42,231,21,0,21,0
graphstate_nativegates_ibm_qiskit_opt0_22.qasm,22,38,44,242,22,0,22,0
graphstate_nativegates_ibm_qiskit_opt0_23.qasm,23,35,46,253,23,0,23,0
graphstate_nativegates_ibm_qiskit_opt0_24.qasm,24,27,48,264,24,0,24,0
graphstate_nativegates_ibm_qiskit_opt0_25.qasm,25,36,50,275,25,0,25,0
graphstate_nativegates_ibm_qiskit_opt0_3.qasm,3,19,6,33,3,0,3,1
graphstate_nativegates_ibm_qiskit_opt0_4.qasm,4,19,8,44,4,0,4,0
graphstate_nativegates_ibm_qiskit_opt0_5.qasm,5,23,10,55,5,0,5,0
graphstate_nativegates_ibm_qiskit_opt0_6.qasm,6,19,12,66,6,0,6,0
graphstate_nativegates_ibm_qiskit_opt0_7.qasm,7,22,14,77,7,0,7,0
graphstate_nativegates_ibm_qiskit_opt0_8.qasm,8,23,16,88,8,0,8,0
graphstate_nativegates_ibm_qiskit_opt0_9.qasm,9,22,18,99,9,0,9,0
